date ; stroke
2019-02-03 16:09:01,880 ; tab
2019-02-03 16:09:03,792 ; tab
2019-02-03 16:09:04,645 ; caps_lock
2019-02-03 16:09:04,861 ; caps_lock
2019-02-03 16:09:05,364 ; caps_lock
2019-02-03 16:09:05,546 ; caps_lock
2019-02-03 16:09:23,998 ; alt_l
2019-02-03 16:09:24,034 ; tab
2019-02-03 16:09:24,505 ; alt_l
2019-02-03 16:09:24,537 ; tab
2019-02-03 16:09:25,898 ; alt_l
2019-02-03 16:09:25,935 ; tab
2019-02-03 16:09:26,450 ; alt_l
2019-02-03 16:09:26,493 ; tab
2019-02-03 16:09:28,322 ; alt_l
2019-02-03 16:09:28,376 ; tab
2019-02-03 16:10:35,985 ; alt_l
2019-02-03 16:10:36,008 ; tab
2019-02-03 16:10:53,690 ; alt_l
2019-02-03 16:10:53,735 ; tab
2019-02-03 16:11:40,377 ; alt_l
2019-02-03 16:11:40,430 ; tab
2019-02-03 16:11:49,844 ; alt_l
2019-02-03 16:11:49,893 ; tab
2019-02-03 16:12:12,970 ; alt_l
2019-02-03 16:12:13,042 ; tab
2019-02-03 16:12:30,623 ; alt_l
2019-02-03 16:12:30,712 ; tab
2019-02-03 16:13:27,648 ; alt_l
2019-02-03 16:13:27,697 ; tab
2019-02-03 16:13:28,638 ; alt_l
2019-02-03 16:13:28,732 ; tab
2019-02-03 16:13:34,945 ; alt_l
2019-02-03 16:13:35,002 ; tab
2019-02-03 16:13:36,231 ; alt_l
2019-02-03 16:13:36,280 ; tab
2019-02-03 16:14:36,022 ; alt_l
2019-02-03 16:14:36,071 ; tab
2019-02-03 16:14:38,357 ; alt_l
2019-02-03 16:14:38,411 ; tab
2019-02-03 16:14:50,203 ; alt_l
2019-02-03 16:14:50,267 ; tab
2019-02-03 16:15:07,042 ; a
2019-02-03 16:15:07,260 ; r
2019-02-03 16:15:07,481 ; c
2019-02-03 16:15:07,544 ; h
2019-02-03 16:15:07,629 ; i
2019-02-03 16:15:07,732 ; t
2019-02-03 16:15:07,854 ; e
2019-02-03 16:15:08,006 ; c
2019-02-03 16:15:08,133 ; t
2019-02-03 16:15:08,323 ; s
2019-02-03 16:15:08,390 ; enter
2019-02-03 16:16:15,765 ; alt_l
2019-02-03 16:16:15,819 ; tab
2019-02-03 16:23:19,113 ; alt_l
2019-02-03 16:23:19,171 ; tab
2019-02-03 16:24:11,193 ; alt_l
2019-02-03 16:24:11,220 ; tab
2019-02-03 16:33:06,702 ; z
2019-02-03 16:33:08,537 ; z
2019-02-03 16:45:21,602 ; z
2019-02-03 16:51:13,109 ; alt_l
2019-02-03 16:51:13,181 ; tab
2019-02-03 17:01:55,975 ; alt_l
2019-02-03 17:01:56,024 ; tab
2019-02-03 17:02:06,198 ; c
2019-02-03 17:02:06,275 ; h
2019-02-03 17:02:06,355 ; o
2019-02-03 17:02:06,508 ; n
2019-02-03 17:02:06,668 ; enter
2019-02-03 17:14:07,825 ; alt_l
2019-02-03 17:14:07,861 ; tab
2019-02-03 17:14:10,556 ; alt_l
2019-02-03 17:14:10,592 ; tab
2019-02-03 17:38:38,001 ; ctrl_l
2019-02-03 17:38:38,145 ; t
2019-02-03 17:38:38,747 ; p
2019-02-03 17:38:39,665 ; backspace
2019-02-03 17:38:39,835 ; backspace
2019-02-03 17:38:46,262 ; p
2019-02-03 17:38:46,634 ; s
2019-02-03 17:38:47,157 ; 4
2019-02-03 17:38:47,454 ; space
2019-02-03 17:38:49,188 ; g
2019-02-03 17:38:49,571 ; a
2019-02-03 17:38:51,609 ; down
2019-02-03 17:38:51,808 ; down
2019-02-03 17:38:51,975 ; down
2019-02-03 17:38:52,303 ; enter
2019-02-03 17:42:39,505 ; g
2019-02-03 17:42:39,618 ; a
2019-02-03 17:42:39,796 ; r
2019-02-03 17:42:39,955 ; a
2019-02-03 17:42:40,014 ; n
2019-02-03 17:42:40,207 ; t
2019-02-03 17:42:40,395 ; y
2019-02-03 17:42:40,711 ; backspace
2019-02-03 17:42:40,874 ; i
2019-02-03 17:42:40,972 ; e
2019-02-03 17:42:41,046 ; space
2019-02-03 17:42:41,242 ; s
2019-02-03 17:42:41,308 ; o
2019-02-03 17:42:41,479 ; n
2019-02-03 17:42:41,574 ; i
2019-02-03 17:42:42,016 ; backspace
2019-02-03 17:42:42,369 ; y
2019-02-03 17:42:42,461 ; space
2019-02-03 17:42:42,742 ; p
2019-02-03 17:42:42,910 ; s
2019-02-03 17:42:43,530 ; 3
2019-02-03 17:42:44,146 ; backspace
2019-02-03 17:42:44,432 ; 4
2019-02-03 17:42:44,608 ; enter
2019-02-03 17:42:54,584 ; ctrl_l
2019-02-03 17:42:54,741 ; f
2019-02-03 17:42:55,057 ; 2
2019-02-03 17:42:55,444 ; space
2019-02-03 17:42:55,657 ; a
2019-02-03 17:42:56,401 ; backspace
2019-02-03 17:42:56,564 ; backspace
2019-02-03 17:42:56,717 ; backspace
2019-02-03 17:42:57,292 ; a
2019-02-03 17:42:57,382 ; n
2019-02-03 17:43:01,543 ; d
2019-02-03 17:43:01,739 ; e
2019-02-03 17:43:01,874 ; u
2019-02-03 17:43:02,102 ; x
2019-02-03 17:43:02,891 ; backspace
2019-02-03 17:43:03,041 ; backspace
2019-02-03 17:43:03,708 ; u
2019-02-03 17:43:03,826 ; x
2019-02-03 17:52:15,098 ; r
2019-02-03 17:52:15,179 ; e
2019-02-03 17:52:15,318 ; d
2019-02-03 17:52:16,604 ; down
2019-02-03 17:52:16,746 ; enter
2019-02-03 17:58:37,189 ; shift
2019-02-03 17:58:37,350 ; l
2019-02-03 17:58:37,585 ; a
2019-02-03 17:58:37,657 ; space
2019-02-03 17:58:38,330 ; s
2019-02-03 17:58:38,407 ; u
