date ; stroke
2019-01-29 14:06:00,177 ; p
2019-01-29 14:06:00,285 ; e
2019-01-29 14:06:01,081 ; ,
2019-01-29 14:06:01,260 ; space
2019-01-29 14:06:01,373 ; r
2019-01-29 14:06:01,473 ; e
2019-01-29 14:06:01,599 ; n
2019-01-29 14:06:01,651 ; d
2019-01-29 14:06:01,751 ; e
2019-01-29 14:06:01,879 ; r
2019-01-29 14:06:02,593 ; right
2019-01-29 14:06:03,062 ;  ;
2019-01-29 14:06:15,136 ; cmd
2019-01-29 14:06:15,144 ; alt
2019-01-29 14:06:28,715 ; right
2019-01-29 14:06:29,073 ; backspace
2019-01-29 14:06:29,248 ; right
2019-01-29 14:06:29,835 ; a
2019-01-29 14:06:31,965 ; cmd
2019-01-29 14:06:31,977 ; alt
2019-01-29 14:07:09,330 ; cmd
2019-01-29 14:07:12,335 ; cmd
2019-01-29 14:07:15,764 ; cmd
2019-01-29 14:07:16,879 ; c
2019-01-29 14:07:16,995 ; a
2019-01-29 14:07:17,257 ; l
2019-01-29 14:07:17,411 ; l
2019-01-29 14:09:08,887 ; cmd
2019-01-29 14:09:09,332 ; ctrl+a
2019-01-29 14:09:11,581 ; down
2019-01-29 14:09:11,879 ; down
2019-01-29 14:09:12,228 ; enter
2019-01-29 14:09:12,499 ; enter
2019-01-29 14:09:12,744 ; up
2019-01-29 14:09:13,241 ; cmd
2019-01-29 14:09:13,453 ; crtl+v
2019-01-29 14:09:15,563 ; backspace
2019-01-29 14:09:15,947 ; backspace
2019-01-29 14:10:27,592 ; v
2019-01-29 14:10:27,751 ; a
2019-01-29 14:10:27,915 ; r
2019-01-29 14:10:28,075 ; space
2019-01-29 14:10:39,893 ; v
2019-01-29 14:10:40,070 ; a
2019-01-29 14:10:40,257 ; r
2019-01-29 14:10:40,625 ; space
2019-01-29 14:10:42,598 ;  ;
2019-01-29 14:10:44,536 ;  ;
2019-01-29 14:10:57,173 ; enter
2019-01-29 14:10:57,603 ; shift
2019-01-29 14:10:57,891 ; /
2019-01-29 14:10:57,999 ; /
2019-01-29 14:10:58,478 ; shift
2019-01-29 14:10:58,626 ; d
2019-01-29 14:10:59,043 ; e
2019-01-29 14:10:59,160 ; f
2019-01-29 14:10:59,287 ; i
2019-01-29 14:10:59,440 ; n
2019-01-29 14:10:59,528 ; e
2019-01-29 14:10:59,708 ; space
2019-01-29 14:11:10,320 ; t
2019-01-29 14:11:10,566 ; h
2019-01-29 14:11:10,795 ; space
2019-01-29 14:11:11,304 ; backspace
2019-01-29 14:11:11,388 ; e
2019-01-29 14:11:11,649 ; space
